﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿"﻿﻿""﻿""""﻿﻿﻿﻿﻿﻿""""""""﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿Version""""""""""""""",
0,
"Double byte support",
0,
"Double byte font",
"�l�r �o�S�V�b�N",
"Not enough coins, please purchase more!", "Du hast nicht genug, bitte kaufe mehr Münzen!"
"TANK LVL-1", "PANZER LVL-1"
"TANK LVL-2", "PANZER LVL-2"
"APC LVL-1", "APC LVL-1"
"APC LVL-2", "APC LVL-2"
"APC LVL-3", "APC LVL-3"
"HELICOPTER LVL-1", "HELIKOPTER LVL-1"
"HELICOPTER LVL-2", "HELIKOPTER LVL-2"
"HELICOPTER LVL-3", "HELIKOPTER LVL-3"
"PERSON", "PERSON"
"Outfit", "Outfit"
"Primary", "Primär"
"Secondary", "Sekundär"
"Items", "Artikel"
"Head", "Kopf"
"Camo", "Tarnung"
"Flag", "Flagge"
"Emblem", "Emblem"
"OPEN", "ÖFFNEN"
"PURCHASE", "KAUFEN"
"CLIENT IS OLD, PLEASE CLEAR YOUR BROWSER CACHE...", "DEINE BROWSERVERSION IST VERALTETALT, BITTE LÖSCHEN DEINEN BROWSER CACHE ..."
"ALL GAME SERVERS FULL, PLEASE REFRESH...", "ALLE SPIELE-SERVER SIND VOLL, BITTE LADE DIE SEIET NEU ..."
"SELECT SERVER", "WÄHLE EINEN SERVER"
"Connect", "Verbinden"
"Refresh", "Aktualisieren"
"Localhost", "Localhost"
"CONNECTING...", "VERBINDEN ..."
"PLAY GAME!", "SPIELEN!"
"QUIT GAME", "SPIEL VERLASSEN"
"Mouse", "Maus"
"Volume", "Lautstärke"
"Shadows", "Schatten"
"Mute Audio", "Audio stummschalten"
"Antialiasing", "Kantenglättung"
"Tone Mapping", "Tone Mapping"
"Ambient Occlusion", "Ambient Occlusion"
"Reflections", "Reflexionen"
"PLAYER CUSTOMIZATION", "SPIELER-ANPASSUNG"
"MISSIONS", "MISSIONEN"
"SKIP MISSION", "MISSION ÜBERSPRINGEN"
"Reward", "Belohnung"
"SKIP MISSION?", "MISSION ÜBERSPRINGEN?"
"Yes", "Ja"
"No", "Nein"
"CRATES", "KISTEN"
"POPULAR", "BELIEBT"
"BEST VALUE", "BEST VALUE"
"Redeem Crate Code...", "Kistencode einlösen ..."
"Log In", "Einloggen"
"To earn crates, complete missions, keep track of your XP, and to purchase coins in War Brokers, please sign in using Google, Facebook, VK, Twitch, or a Steam account.", "Um Kisten zu verdienen, Missionen abzuschließen, den XP zu speichern und Münzen in War Brokers zu kaufen, melde dich mit Google, Facebook, VK, Twitch oder einem Steam-Konto an."
"Use MOUSE1 to control speed", "Verwende MOUSE1, um die Geschwindigkeit zu steuern"
"N", "N"
"S", "S"
"E", "E"
"W", "W"
"M - Menu", "M - Menü"
"Press F to Enter Vehicle", "Drücke F, um in das Fahrzeug einzusteigen"
"MISSILE LOCKED!!!", "ZIEL ERFASST !!!"
"Press F to Pickup Package", "Drücke F um das Packet aufzuheben"
"Switching Team to Balance Server", "Teamwechsel um die Teams auszugleichen"
"Hold F to Launch Missile", "Halte F gedrückt, um die Rakete zu starten"
"Toggle Fullscreen", "Auf Vollbild umschalten"
"Press Y for team chat...", "Drücke Y für den Team-Chat ..."
"Leaderboard", "Bestenliste"
"LVL", "LVL"
"XP", "XP"
"Ping", "Ping"
"Our Team :", "Unser Team :"
" : Enemy Team", " : Gegnerisches Team"
"Team Death Match Starts In", "Team Death Match beginnt"
"Death Match Starts In", "Death Match beginnt in"
"Capture Point Starts In", "Capture point beginnt in"
"Capture Flags Starts In", "Capture the flag beginnt in"
"Package Drop Starts In", "Paketabwurf beginnt in"
"Missile Launch Starts In", "Raketenstart beginnt in"
"Launch missiles!", "Raketen starten!"
"Stop missile launch!", "Stoppe den Raketenstart!"
"AR Rifle", "AR Gewehr"
"AK Rifle", "AK Gewehr"
"Pistol", "Pistole"
"Hunting Rifle", "Jagdgewehr"
"RPG", "RPG"
"Shotgun", "Schrotflinte"
"Sniper Rifle", "Scharfschützengewehr"
"Sub Machine Gun", "Maschinenpistole"
"Homing Missile", "Zielflugkörper"
"Package", "Paket"
"Grenade", "Granate"
"BGM", "BGM"
"Air Strike", "Luftangriff"
"Unknown", "Unbekannt"
"Team Loss!!!", "Niederlage !!!"
"Team Wins!!!", "Team gewinnt !!!"
"Tie Game!!!", "Unentschieden !!!"
"Final Results", "Ergebnisse"
"Kills", "Kills"
"Deaths", "Deaths"
"Damage", "Schaden"
"Longest Kill", "Weitester Kill"
"Points", "Punkte"
"Headshots", "Kopfschüsse"
"Kills -", "Kills -"
"Deaths -", "Deaths -"
"Damage -", "Beschädigung -"
"Longest -", "Längster -"
"Points -", "Punkte -"
"Head Shots -", "Kopfschüsse -"
" kills", " Kills"
"Sign in to keep track of mission progress", "Melden Dich an, um deine Missionserfolge zu speichern"
"LEVEL", "LEVEL"
"Earned", "Verdient"
" coins!", " Münzen!"
"Team will switch in 5 seconds", "Das Team wechselt in 5 Sekunden um"
"Mission", "Mission"
" Complete", " Komplett"
" XP", " XP"
" Coins", " Münzen"
"Earned a Crate!", "Eine Kiste verdient!"
"Kill", "Töten"
"Cause", "Ursache"
" damage", " Beschädigung"
"Deliver", "Liefern"
" packages", " Pakete"
" package", " Paket"
"Launch", "Start"
" missiles", " Raketen"
" missile", " Rakete"
"Capture", "Eroberung"
" points", " Punkte"
" point", " Punkt"
"Play", "Spielen"
" matches", " Spiele"
" match", " Spiel"
"Travel", "Reise"
" meters", " Meter"
"Assist", "Helfen"
" players", " Spieler"
" player", " Spieler"
"Finish 1 match with", "Beende 1 Spiel mit"
" kill", " töten"
" as a", " als ein"
" with a", " mit einem"
" without dying", " ohne zu sterben"
" within", " innerhalb"
" seconds", " Sekunden"
" dying less than", " sterben weniger als"
" times", " mal"
" time", " Zeit"
" with health less than", " mit weniger Trefferpunkten als"
" in less than", " in weniger als"
" at a distance greater than", " in einem größeren Abstand als"
" at a distance less than", " in einer Entfernung von weniger als"
"Coins", "Münzen"
"Crate", "Kiste"
"any weapon", "jede Waffe"
"tanks", "Panzer"
"tank", "Panzer"
"APCs", "APCs"
"APC", "APC"
"helicopters", "Hubschrauber"
"helicopter", "Hubschrauber"
"Tank Lvl-1", "Tank Lvl-1"
"Tank Lvl-2", "Tank Lvl-2"
"Tank Lvl-3", "Tank Lvl-3"
"APC Lvl-1", "APC Lvl-1"
"APC Lvl-2", "APC Lvl-2"
"APC Lvl-3", "APC Lvl-3"
"Helicopter Lvl-1", "Hubschrauber Lvl-1"
"Helicopter Lvl-2", "Hubschrauber Lvl-2"
"Helicopter Lvl-3", "Hubschrauber Lvl-3"
"people", "Personen"
"person", "Person"
"TANK LVL-3", "TANK LVL-3"
"QUIT GAME?", "SPIEL VERLASSEN?"
"DAILY REWARDS", "TÄGLICHE BELOHNUNGEN"
"Missiles Launched", "Raketen gestartet"
" until next reward", " bis zur nächsten Belohnung"
"killed by", "getötet von"
"fragged by", "mit Granate getötet von"
"blown up by", "in die Luft gesprengt von"
"destroyed by", "zerstört von"
"smashed by", "zerschlagen von"
"with", "mit"
"self destructed", "selbst zerstört"
"Invert Heli Y", "Hubschrauber Y umdrehen"
"Press C to Change View", "Drücke C um die Ansicht zu wechseln"
"LAUNCH MISSILES", "RAKETENSTART"
"FIND GREEN CIRCLES ON MAP", "FINDE DIE GRÜNEN KREISE AUF DER KARTE"
"HOLD F TO RAISE", "HALTE F GEDRÜCKT UM ANZUHEBEN"
"YELLOW = BEING RAISED", "GELB = LIEGT"
"RED = LAUNCHED", "ROT = GESTARTET"
"GREEN = LAUNCHER", "GRÜN = LAUNCHER"
"STOP MISSILE LAUNCH", "STOPPE DEN RAKETENSTART"
"FIND YELLOW CIRCLES ON MAP", "FINDE DIE GELBE KREISE AUF DER KARTE"
"STOP PEOPLE LAUNCHING MISSILE", "HALTE ALLE AUF DIE DIE RAKETE STARTEN WOLLEN"
"Invert Y Axis", "Invertiere die Y-Achse"
"Color Blind", "Farbenblind"
"Press F to Drop Package", "Drücke F, um das Paket fallenzulassen"
"FIND THE PACKAGE [WHITE STAR ON MAP]", "FINDE DAS PAKET [WEISSER STERN AUF DER KARTE]"
"PICK IT UP", "HEB ES AUF"
"DROP OFF AT GREEN CIRCLE", "ABSPRUNG IM GRÜNEN KREIS"
